bed,bath,cube,home,price,area,address
3 beds,1 bath,114m 2,Terraced House,440000,Dublin 12," 9 Walkinstown Drive, Walkinstown, Dublin 12"
1 bed,1 bath,31m 2,End of Terrace House,295000,Dublin 8," 23 Meath Place, South City Centre - D8, Dublin 8"
2 beds,1 bath,68m 2,Terraced House,385000,Dublin 7," 34 Primrose Avenue, Phibsboro, Dublin 7"
2 beds,2 baths,85.84m 2,Apartment,255000,Dublin 15," 75 Annagh Court , Blanchardstown, Dublin 15"
2 beds,3 baths,114.6m 2,Apartment,975000,Dublin 4," 1 Raglan Court, 14 Raglan Road, Ballsbridge, Dublin 4"
5 beds,4 baths,278m 2,Terraced House,1750000,Dublin," 16 Leeson Street Upper, Dublin 4, Dublin"
6 beds,7 baths,428m 2,Terraced House,2750000,Dublin 4," 12 Morehampton Road, Donnybrook, Dublin 4"
3 beds,2 baths,,Semi-Detached House,550000,Dublin 15," 43 Luttrellstown Avenue, Castleknock,   Dublin 15"
3 beds,3 baths,117m 2,Semi-Detached House,500000,Dublin 15," 15 Riverwood Green, Castleknock,   Dublin 15"
4 beds,2 baths,,Semi-Detached House,550000,Dublin 15," 2 Roselawn Walk, Castleknock,   Dublin 15"
5 beds,3 baths,238m 2,Bungalow,1250000,Dublin 16," Carraig, Tibradden, Rathfarnham, Dublin 16"
6 beds,4 baths,233m 2,Detached House,1250000,Dublin 16," 5 Knocklyon Avenue, Knocklyon, Dublin 16"
5 beds,5 baths,354m 2,Detached House,850000,Co Dublin," Ashbrook Villa,Church Road,Rolestown,Swords,Co Dublin"
2 beds,2 baths,72.2m 2,Apartment,275000,K67 RF30," 13 Forest Hills,Forest Road,Swords,Co Dublin,K67 RF30"
4 beds,4 baths,216.5m 2,Detached House,695000,Dublin," 9 Barley Hill, Ballyboughal, Dublin"
3 beds,2 baths,85.7m 2,Semi-Detached House,365000,K67 DY20," 1 Thornleigh Lane,Applewood,Swords,Co. Dublin,K67 DY20"
5 beds,1 bath,162.5m 2,End of Terrace House,795000,Dublin 9," 111 BOTANIC ROAD, Glasnevin, Dublin 9"
4 beds,3 baths,165.6m 2,Detached House,700000,Dublin 18," 10 Rockville Avenue, Glenamuck Road, Carrickmines, Dublin 18"
4 beds,3 baths,248m 2,Terraced House,1595000,County Dublin," 65 Albert Road Lower, Glenageary, County Dublin"
3 beds,1 bath,95m 2,Terraced House,475000,County Dublin," 25 Birch Grove, Kill Avenue, Dun Laoghaire, County Dublin"
4 beds,,,House,POA,County Dublin," 4 Bedroom Homes, Seamount Rise, Off Seamount Road, Malahide, County Dublin"
3 beds,1 bath,160m 2,Terraced House,695000,Dublin 14," 17 Main Street, Rathfarnham, Dublin 14"
3 beds,1 bath,114m 2,Semi-Detached House,800000,Dublin 16," 23 Marley Grove, Rathfarnham, Dublin 16"
4 beds,1 bath,121m 2,Detached House,800000,Dublin," 1 Island View, Malahide, Dublin"
2 beds,1 bath,76m 2,Apartment,420000,Dublin 6," 24 Oaklands Crescent, HIghfield Road, Rathgar, Dublin 6"
1 bed,1 bath,34.5m 2,Apartment,190000,Dublin 9," Apt 17 Sion Hill Court, Drumcondra, Dublin 9"
4 beds,2 baths,120m 2,Detached House,850000,Co. Dublin," 17 The Rise, Barnhill Road, Dalkey, Co. Dublin"
3 beds,,,End of Terrace House,475000,Dublin 6," 128 Larkfield Gardens, Harold's Cross, Dublin 6"
1 bed,,36m 2,Cottage,285000,Dublin 6," 114 Harold's Cross Cottages, Harold's Cross, Dublin 6"
3 beds,,72m 2,Apartment,375000,Dublin 6," 2 Ardee Court, Ardee Road, Dubin 6, Rathmines, Dublin 6"
4 beds,1 bath,136m 2,Terraced House,650000,Dublin 9," 114 Botanic Road, Glasnevin, Dublin 9"
2 beds,1 bath,64m 2,Apartment,235000,County Dublin," 30 Millrace Park, Saggart, County Dublin"
3 beds,1 bath,82m 2,Terraced House,325000,Dublin 7," 53 Fassaugh Road, Cabra,   Dublin 7"
3 beds,1 bath,112m 2,Semi-Detached House,495000,Dublin 11," 67 Grove Park Drive, Glasnevin,   Dublin 11"
2 beds,2 baths,72m 2,Apartment,250000,Dublin 13," 72 Belmayne Park South, Balgriffin,   Dublin 13"
2 beds,1 bath,60m 2,Apartment,275000,Dublin 1," Apartment 79, Block 35, Mountjoy Square, Dublin 1"
3 beds,1 bath,,Semi-Detached House,320000,Dublin 15," 20 Ashfield Park, Clonsilla,   Dublin 15"
4 beds,2 baths,206.98m 2,Detached House,975000,Dublin 3," 145 Howth Road, Clontarf, Dublin 3"
4 beds,2 baths,,Terraced House,395000,Dublin South," 63 Ennel Court, Ballybrack, Dublin South"
3 beds,4 baths,145m 2,Terraced House,1250000,Dublin 6," 53 Mountpleasant Avenue Lower, Ranelagh, Dublin 6"
2 beds,1 bath,58m 2,Apartment,325000,County Dublin," 36 The Kilns, Station Road, Portmarnock, County Dublin"
4 beds,3 baths,,Semi-Detached House,649000,Dublin 18," 83 Wingfield, Enniskerry Road, Stepaside, Dublin 18"
4 beds,2 baths,130m 2,Semi-Detached House,750000,Dublin 6w," 28 Cypress Grove South, Templeogue, Dublin 6w"
,,,Site,200000,Dublin 5," 71 Collins Ave , Killester, Dublin 5"
4 beds,2 baths,1450ft 2,Semi-Detached House,625000,Dublin 5," 16 Thorndale Grove, Artane, Dublin 5"
3 beds,1 bath,945ft 2,Semi-Detached House,385000,Dublin 9," 47 Coolgreena Road, Beaumont, Dublin 9"
2 beds,1 bath,63m 2,Terraced House,350000,Dublin 3," 12 Susanville Road, Drumcondra, Dublin 3"
2 beds,1 bath,65m 2,Terraced House,345000,Dublin 9," 18 Glendun Road, Whitehall, Dublin 9"
2 beds,1 bath,60m 2,Terraced House,295000,Dublin 3," 4 Hyacinth Street, North Strand, Dublin 3"
2 beds,2 baths,103m 2,End of Terrace House,595000,Dublin 9," 53 CHURCH AVENUE, Drumcondra, Dublin 9"
2 beds,1 bath,55m 2,Terraced House,325000,Dublin 7," 8 AVONDALE AVENUE, Phibsboro, Dublin 7"
2 beds,1 bath,50m 2,Terraced House,300000,Dublin 9," 7 CLONTURK AVENUE, Drumcondra, Dublin 9"
3 beds,1 bath,87m 2,Terraced House,AMV245000,Dublin 12," 12 Curlew Road, Drimnagh,   Dublin 12"
4 beds,3 baths,114m 2,Terraced House,500000,Dublin 7," 60 Orchard Terrace, Stoneybatter, Dublin 7"
2 beds,1 bath,60m 2,Terraced House,380000,Dublin 7," 28 Sullivan Street, Stoneybatter, Dublin 7"
3 beds,2 baths,,Semi-Detached House,875000,Dublin 3," 11 Arran Road, Drumcondra, Dublin 3"
3 beds,3 baths,110m 2,Terraced House,525000,Dublin 16," 16 Airpark Square, Stocking Lane, Rathfarnham, Dublin 16"
3 beds,1 bath,82m 2,Terraced House,270000,Dublin 22," 3 Lindisfarne Green, Clondalkin, Dublin 22"
4 beds,3 baths,310m 2,Semi-Detached House,1950000,Dublin 2," 8 Harcourt Terrace, South City Centre, Dublin 2"
2 beds,1 bath,57m 2,Apartment,295000,D07 VPW5," 15 Park Crescent House,Blackhorse Avenue,Dublin 7,D07 VPW5"
3 beds,2 baths,101m 2,End of Terrace House,795000,Dublin 6," 7 Dunville Avenue, Ranelagh, Dublin 6"
4 beds,3 baths,212m 2,Apartment,1750000,Dublin 4," 12 Thornfield, Donnybrook, Dublin 4"
3 beds,3 baths,97m 2,Semi-Detached House,385000,Dublin 15," 40 Portersgate Heights, Clonsilla, Dublin 15"
3 beds,2 baths,95m 2,Semi-Detached House,750000,Dublin 3," 136 Home Farm Road, Drumcondra, Dublin 3"
3 beds,2 baths,127m 2,Semi-Detached House,500000,Dublin 15," 23 Clonsilla Park, Blanchardstown, Clonsilla,   Dublin 15"
3 beds,1 bath,94m 2,House,425000,Dublin 3," 15 BARGY ROAD, East Wall,   Dublin 3"
4 beds,3 baths,223m 2,Detached House,795000,Dublin," 122 Drumnigh Wood, Portmarnock, Dublin"
5 beds,2 baths,192m 2,Semi-Detached House,1450000,Dublin 4," 10 Brendan Road, Donnybrook, Dublin 4"
7 beds,2 baths,289.6m 2,Semi-Detached House,995000,Dublin 3," 31 Haddon Road, Clontarf,   Dublin 3"
4 beds,3 baths,192m 2,Semi-Detached House,1575000,Dublin 6," 29 Ormond Road, Ranelagh, Dublin 6"
3 beds,3 baths,133.1m 2,Semi-Detached House,470000,Dublin 24," 7A Allenton Drive, Tallaght, Dublin 24"
3 beds,1 bath,96m 2,Cottage,485000,Dublin 14," 11 St Patrick Cottages , Rathfarnham, Dublin 14"
4 beds,4 baths,176m 2,Terraced House,1100000,Co. Dublin," 2 Feldberg, Upper Glenageary Road, Glenageary, Co. Dublin"
3 beds,3 baths,105m 2,Semi-Detached House,POA,Co. Dublin," Three Bed Semi Detached Homes,Westmill,Millers Glen,Swords,Co. Dublin"
5 beds,4 baths,269m 2,Semi-Detached House,2450000,Dublin 4," 21 Pembroke Park, Ballsbridge, Dublin 4"
4 beds,3 baths,229m 2,Detached House,1975000,Co. Dublin," Shottery, Kilmore Avenue, Killiney, Co. Dublin"
4 beds,2 baths,124m 2,Semi-Detached House,1150000,Dublin 3," 31 Oulton Road, Clontarf, Dublin 3"
3 beds,2 baths,123m 2,Terraced House,645000,Dublin 9," 20 ST. COLUMBA'S ROAD LOWER, Drumcondra, Dublin 9"
3 beds,3 baths,114m 2,End of Terrace House,POA,Co. Dublin," Three Bed End Of Terrace Homes,Westmill,Millers Glen,Swords,Co. Dublin"
2 beds,2 baths,110m 2,Apartment,850000,Dublin 4," 2 Northfield, Bloomfield House, Donnybrook, Dublin 4"
3 beds,3 baths,140m 2,Townhouse,950000,Dublin 4," 14 Emerald Cottages, Ballsbridge, Dublin 4"
3 beds,,114m 2,End of Terrace House,POA,Dublin 17," 3 Bedroom End-Terrace,Belcamp,Malahide Road,Dublin 17"
9 beds,5 baths,730m 2,Detached House,5500000,Co. Dublin," Montebello House, Killiney Hill Road, Killiney, Co. Dublin"
3 beds,2 baths,113m 2,Terraced House,POA,Dublin 17," 3 Bedroom Terraced Homes,Belcamp,Malahide Road,Dublin 17"
3 beds,3 baths,109m 2,Detached House,575000,Dublin 15," 86a Park Drive Avenue, Castleknock, Dublin 15"
3 beds,3 baths,,Apartment,POA,Dublin 4," 3 Bedroom Apartment - 143 Merrion Road, Dublin 4"
3 beds,3 baths,114m 2,Terraced House,405000,Dublin 13," 8 Parkside Crescent, Balgriffin,   Dublin 13"
4 beds,3 baths,162m 2,Semi-Detached House,575000,Dublin 24," 16 Dodderbrook Park, Ballycullen, Dublin 24"
8 beds,7 baths,285m 2,Terraced House,1100000,Dublin 9," Arranmore House, 104 Lower Drumcondra Road, Drumcondra, Dublin 9"
2 beds,3 baths,101m 2,Penthouse,425000,County Dublin," 32 The Fairways, Seabrook Manor, Portmarnock,   County Dublin"
4 beds,3 baths,265m 2,Detached House,1275000,County Dublin," 3 Broomfield Woods, Malahide,   County Dublin"
1 bed,1 bath,40m 2,Apartment,275000,Dublin 9," Apt 5 Beaucourt, Achill Road, Drumcondra, Dublin 9"
4 beds,3 baths,280m 2,Penthouse,1150000,Dublin," Penthouse 72, Woodview, Mt Merrion Avenue, Blackrock, Dublin"
2 beds,2 baths,59.53m 2,Apartment,365000,Co. Dublin," 39 Castleheath, Swords Road, Malahide, Co. Dublin"
2 beds,1 bath,64.5m 2,Terraced House,365000,Dublin 7," 34 Niall Street, Stoneybatter, Dublin 7"
4 beds,4 baths,367m 2,Detached House,2000000,Dublin 18," Woodlane House, Quarry Road, Rathmichael, Dublin 18"
3 beds,3 baths,140m 2,Terraced House,840000,Dublin 12," 17 Greenmount Court HX, Harold's Cross - D12, Dublin 12"
2 beds,,64m 2,Terraced House,325000,D11 F7K3," 9 Glasnevin Oaks,Glasnevin,Dublin 11,D11 F7K3"
3 beds,3 baths,154m 2,End of Terrace House,1250000,Dublin 4," 1 Auburn Road, Donnybrook, Dublin 4"
5 beds,3 baths,157m 2,Semi-Detached House,395000,County Dublin," 20 Thornleigh Square, Swords, County Dublin"
2 beds,1 bath,74m 2,Duplex,445000,Co. Dublin," 10 Dawson Court, Cross Avenue, Blackrock, Co. Dublin"
4 beds,3 baths,113.4m 2,Semi-Detached House,465000,K78 Y6H9," 16 Westbury Avenue,Westbury Court,Lucan,Co Dublin,K78 Y6H9"
4 beds,2 baths,133m 2,Semi-Detached House,545000,Co Dublin," 188 Beech Park,Lucan,Co Dublin"
1 bed,1 bath,60m 2,Apartment,295000,Dublin," 208 The Edges, Sandyford, Dublin"
4 beds,3 baths,119.8m 2,Semi-Detached House,410000,Co. Dublin," 4 Dublin Road, Chapel Farm, Lusk, Co. Dublin"
3 beds,1 bath,71m 2,Bungalow,590000,Co. Dublin," 1 Newtown Villas, Blackrock, Co. Dublin"
3 beds,2 baths,98m 2,Semi-Detached House,324950,K32 W135," 57 Chapel Gate,Balbriggan,Co. Dublin,K32 W135"
3 beds,3 baths,90m 2,Semi-Detached House,340000,Co. Dublin," 27 Earlsfort Meadows, Lucan, Co. Dublin"
3 beds,1 bath,85m 2,Terraced House,495000,Dublin 3," 23 Clonliffe Gardens, Drumcondra, Dublin 3"
2 beds,2 baths,106m 2,End of Terrace House,630000,Co. Dublin," 2 Railway Avenue, Malahide, Co. Dublin"
2 beds,2 baths,85m 2,Terraced House,345000,Dublin 9," 153 Larkhill Road, Whitehall, Dublin 9"
5 beds,5 baths,302m 2,Terraced House,1750000,Dublin 2," 2 Fitzwilliam Street Upper, South City Centre, Dublin 2"
3 beds,3 baths,200m 2,Terraced House,1500000,Dublin 6," 26 Mountpleasant Square, Ranelagh, Dublin 6"
5 beds,4 baths,176 - 191m 2,Detached House,925000,Dublin 18," 4 Sandyford Green, Sandyford, Dublin 18"
,,55m 2,Apartment,425000,Dublin 4," Apt. 150, Bloomfield Park, Bloomfield Ave., Donnybrook, Dublin 4, Donnybrook, Dublin 4"
2 beds,2 baths,,Apartment,POA,Dublin 4," 2 Bedroom Apartment -143 Merrion Road, Dublin 4"
2 beds,2 baths,,Penthouse,POA,Dublin 4," 2 Bedroom Penthouse - 143 Merrion Road, Dublin 4"
4 beds,1 bath,90m 2,Terraced House,275000,Dublin 17," 64 Belcamp Avenue, Darndale, Dublin 17"
2 beds,2 baths,84m 2,Apartment,275000,Co. Dublin," 18 Stratton Grove, Adamstown, Lucan, Co. Dublin"
2 beds,2 baths,64m 2,Apartment,260000,Co. Dublin," 8 Mount Bellew Way, Lucan, Co. Dublin"
1 bed,1 bath,47.5m 2,Apartment,195000,Dublin 20," 43 Kings Hall, Chapelizod, Dublin 20"
2 beds,1 bath,,Apartment,300000,Dublin," Apt 15, 14 Granby Hall, Granby Row, Dublin 1, Dublin"
2 beds,2 baths,80m 2,Apartment,365000,County Dublin," 26 Greenview, Seabrook Manor, Portmarnock,   County Dublin"
2 beds,1 bath,95m 2,Detached House,645000,Dublin 4," Simmonscourt Terrace, Donnybrook, Dublin 4"
3 beds,1 bath,95.6m 2,Semi-Detached House,420000,D24 A4X0," 94 Monalea Grove,Firhouse,Dublin 24,D24 A4X0"
,,,Apartment,590000,Dublin 18," One Springfield Park, Foxrock, Dublin 18"
3 beds,3 baths,109.9m 2,Semi-Detached House,629950,D13 F2W8," 90A St Peter's Terrace, Howth, County Dublin, D13 F2W8"
2 beds,,,Apartment,POA,," 2 Bedroom Apartment - The Pinnacle, Mount Merrion, County Dublin,  "
3 beds,1 bath,,Semi-Detached House,330000,Dublin 24," 35 Carrigmore Drive, Aylesbury, Tallaght, Dublin 24"
4 beds,3 baths,113m 2,Semi-Detached House,410000,Dublin 15," 7 Mount Symon Lawn, Clonsilla, Dublin 15"
2 beds,2 baths,77m 2,Apartment,395000,Dublin 15," 17 Cloonlara Square, Phoenix Park Racecourse, Castleknock, Dublin 15"
4 beds,2 baths,122m 2,Semi-Detached House,525000,Dublin 15," 22 Castleknock Drive, Castleknock, Dublin 15"
4 beds,3 baths,156m 2,Semi-Detached House,650000,Dublin 16," 5 Coolamber Park, Knocklyon, Dublin 16"
2 beds,,67m 2,Apartment,439950,Co. Dublin," 88 Clearwater Cove, Dun Laoghaire, Co. Dublin"
3 beds,2 baths,94m 2,End of Terrace House,295000,Finglas," 27 Heathfield Crescent,Cappagh Road,Finglas"
2 beds,1 bath,84.5m 2,Apartment,565000,Co. Dublin," Top Floor Apartment,1 Eaton Square,Monkstown,Co. Dublin"
3 beds,3 baths,96m 2,Semi-Detached House,585000,Dublin 6W," 89 Wainsfort Manor Crescent, Terenure, Dublin 6W"
4 beds,3 baths,153m 2,Detached House,425000,K32 EY06," 12 Taylor Hill Green,Balbriggan,Co Dublin,K32 EY06"
2 beds,1 bath,56m 2,End of Terrace House,290000,County Dublin," 5 River Lane, Saint Colmcille's Court, Swords,   County Dublin"
2 beds,2 baths,110m 2,Penthouse,1050000,County Dublin," Clearwater, Malahide, Co. Dublin, Malahide, County Dublin"
3 beds,1 bath,103.8m 2,Terraced House,440000,Dublin 12," 68 St Mary's Park, Walkinstown, Dublin 12"
2 beds,2 baths,69.28m 2,Apartment,249950,Dublin 24," 34 Alen Hall, Tallaght, Dublin 24"
3 beds,1 bath,84.57m 2,Semi-Detached House,349950,Co. Dublin," 8 Earlsfort Way, ., Lucan, Co. Dublin"
2 beds,2 baths,75m 2,Apartment,297000,Dublin 15," 39 Woodbrook Crescent, Castleknock, Dublin 15"
2 beds,,,Apartment,235000,D24 YP76," 135 Belfry Hall,Citywest,Dublin 24,D24 YP76"
3 beds,1 bath,,Semi-Detached House,295000,D22 EP98," 33 Cherrywood Crescent,Clondalkin,Dublin 22,D22 EP98"
1 bed,1 bath,40 - 45m 2,Apartment,250000,Dublin," 98 Tandy Park, Betram Court, Dublin City Centre, Dublin 8, Dublin"
2 beds,2 baths,90m 2,Apartment,350000,County Dublin," 38 The Fairways , Portmarnock, County Dublin"
2 beds,2 baths,64m 2,Apartment,295000,Dublin 8," 47 St. James Court, Kilmainham, Dublin 8"
2 beds,1 bath,60m 2,Terraced House,279000,Dublin 12," 76 Kilworth Road, Drimnagh,   Dublin 12"
2 beds,1 bath,80m 2,Terraced House,299950,Dublin 12," 100 Kilfenora Road, Kimmage, Dublin 12"
2 beds,2 baths,85m 2,Apartment,375000,Dublin 18," 104 The Cubes 4, Beacon South Quarter, Sandyford, Dublin 18"
3 beds,2 baths,139m 2,Semi-Detached House,675000,Co. Dublin," 33 Auburn Road, A96, Glenageary, Co. Dublin"
1 bed,1 bath,40.7m 2,Apartment,295000,Dublin 6," Apt 19 Wynnefield Park, Rathmines, Dublin 6"
3 beds,3 baths,90m 2,Terraced House,325000,County Dublin," 14 Ballyowen Square, Lucan, County Dublin"
3 beds,3 baths,93.6m 2,Apartment,725000,A96 DN84," 41 Harbour View,Dun Laoghaire,Co. Dublin,A96 DN84"
3 beds,1 bath,72.7m 2,,370000,Dublin," 7 St Teresa's Road, Glasnevin, Dublin"
4 beds,2 baths,214.34m 2,Detached House,845000,Dublin 16," 22 Dun Emer Drive, Dundrum, Dublin 16"
2 beds,2 baths,65m 2,Apartment,195000,Dublin 12," 103 The Academy Building, Park West, Dublin 12"
2 beds,1 bath,62m 2,Terraced House,375000,D08 H7PD," 38 Rothe Abbey,Kilmainham,Dublin 8,D08 H7PD"
3 beds,1 bath,,Terraced House,425000,D08 CH5X," 25 Upper Cross Road,Rialto,Dublin 8,D08 CH5X"
2 beds,2 baths,81.79m 2,Apartment,235000,Dublin 24," 22 Swan Hall, Belgard Square West, Tallaght, Dublin 24"
2 beds,1 bath,66m 2,Apartment,150000,D17 TR66," 55 Newtown Court,Belcamp,Dublin 17,D17 TR66"
2 beds,,65m 2,Apartment,260000,D15 W3V5," 10 Linnetfields Square,Clonee,Dublin 15,D15 W3V5"
3 beds,3 baths,107m 2,End of Terrace House,359000,County Dublin," 2 Castlelyon Avenue, Newcastle, County Dublin"
2 beds,1 bath,61m 2,Apartment,350000,Dublin 4," 28 Shelbourne Park South Lotts Road, Grand Canal Dk, Dublin 4"
3 beds,1 bath,,Terraced House,279000,Dublin 22," 240 Cherrywood Lawn, Clondalkin, Dublin 22"
2 beds,1 bath,52m 2,Apartment,300000,Dublin," 42 Tenterfields, Brown Street, Dublin 8, Dublin"
1 bed,1 bath,44m 2,Apartment,300000,Dublin 3," Apt 21 Danesfort, Clontarf, Dublin 3"
8 beds,4 baths,218m 2,End of Terrace House,1100000,A96 H9W0," 37 Clarinda Park West,Dun Laoghaire,Co Dublin,A96 H9W0"
3 beds,1 bath,114m 2,Semi-Detached House,565000,County Dublin," 21 Carrickhill Rise, Portmarnock, County Dublin"
2 beds,1 bath,53m 2,Apartment,269000,Dublin," Apt 5, Waterside Avenue, Malahide, Dublin"
2 beds,1 bath,56.5m 2,Terraced House,250000,D22 E950," 12 Woodford Meadows,Clondalkin,Dublin 22,D22 E950"
3 beds,1 bath,,Terraced House,600000,Dublin," 23 Bellevue Park Avenue, Booterstown, Dublin"
4 beds,3 baths,160m 2,Detached House,825000,D18 A3T8," 49 Kerrymount Rise,Foxrock,Dublin 18,D18 A3T8"
2 beds,1 bath,52m 2,Terraced House,425000,D04 KX31," 56 Celestine Avenue,Stella Gardens,Irishtown,Dublin 4,D04 KX31"
3 beds,2 baths,116m 2,Terraced House,1095000,D04 YW68," 37 Londonbridge Road,Sandymount,Dublin 4,D04 YW68"
3 beds,1 bath,,Semi-Detached House,335000,Co. Dublin," 139 Cianlea, Swords, Co. Dublin"
3 beds,3 baths,,Semi-Detached House,324950,Dublin 15," 170 Rusheeney Close, Clonsilla, Dublin 15"
3 beds,2 baths,101m 2,Semi-Detached House,435000,Dublin 9," 100 Collins Park, Whitehall, Dublin 9"
1 bed,1 bath,61m 2,Apartment,149950,Dublin 15," 26 Manor Place, Ongar, Dublin 15"
2 beds,2 baths,74m 2,Apartment,375000,Dublin 8," Apartment 516 Kilmainham Square, Kilmainham, Dublin 8"
4 beds,2 baths,,Semi-Detached House,535000,Dublin 11," 163 Hillcrest Park, Glasnevin, Dublin 11"
2 beds,1 bath,60m 2,Semi-Detached House,350000,County Dublin," 9 Forest Road, Swords, County Dublin"
1 bed,1 bath,107.1m 2,Terraced House,400000,D08EWY9," 4 Faulkners Terrace, Kilmainham, Dublin 8, D08EWY9"
5 beds,3 baths,147m 2,Terraced House,585000,Dublin 15," 5 Court View, Rathborne, Ashtown, Dublin 15"
3 beds,1 bath,132m 2,Semi-Detached House,775000,County Dublin," 'Fairways', 15 Glenageary Road Upper, Glenageary, County Dublin"
3 beds,1 bath,78m 2,Terraced House,320000,Dublin 12," 16 Galtymore Close, Drimnagh, Dublin 12"
3 beds,1 bath,100m 2,End of Terrace House,595000,Dublin 3," 62 Dollymount Park, Clontarf, Dublin 3"
2 beds,1 bath,61m 2,Apartment,265000,Dublin 15," Apt 44, Cassian Court South, Royal Canal Park, Ashtown, Dublin 15"
3 beds,1 bath,118m 2,Semi-Detached House,365000,Dublin 20," 26 Glenaulin Green, Palmerstown, Dublin 20"
2 beds,2 baths,78m 2,Apartment,475000,Dublin 6," 3 Dodder Bank, Milltown, Dublin 6"
2 beds,2 baths,75m 2,Apartment,500000,Dublin 4," 150 The Links, Elm Park, Merrion, Dublin 4"
3 beds,3 baths,113m 2,Apartment,560000,Dublin 1," 69 Lee House, Custom House Square, IFSC, Dublin 1"
3 beds,1 bath,85m 2,End of Terrace House,465000,Dublin 12," 7 Parnell Avenue, Harold's Cross - D12,   Dublin 12"
2 beds,2 baths,73m 2,Apartment,268000,Dublin 17," 31 Burnell Court, Mayne River Avenue, Northern Cross, Dublin 17"
1 bed,1 bath,50m 2,Apartment,245000,Dublin 8," 112 Kilmainham Bank, Kilmainham,   Dublin 8"
2 beds,1 bath,57m 2,Apartment,235000,Dublin 24," 152 New Seskin Court, Block E North, Tallaght,   Dublin 24"
4 beds,2 baths,108m 2,Semi-Detached House,650000,Dublin 18," 120 Tudor Lawns, Foxrock, Dublin 18"
2 beds,2 baths,65m 2,Apartment,230000,Dublin," Apt 11, The Maple, Grattan Wood, Hole-In-The Wall Road, Dublin 13, Dublin"
2 beds,2 baths,85m 2,Terraced House,490000,Dublin 3," 17 Conquer Hill Road, Clontarf, Dublin 3"
2 beds,1 bath,,Apartment,275000,Dublin 5," Apt 2 Springdale Court, Springdale Road, Raheny, Dublin 5"
3 beds,1 bath,76m 2,Bungalow,350000,Dublin 13," 3 Holywell Avenue, Donaghmede, Dublin 13"
2 beds,2 baths,75m 2,Duplex,340000,Dublin," 24 The Belfry, Kilbarrack Road, Dublin 5, Dublin"
4 beds,,180m 2,Dormer,895000,Co. Dublin," 116 Avondale Road, Killiney, Co. Dublin"
4 beds,2 baths,105m 2,Semi-Detached House,460000,Dublin 16," 50 Beverly Avenue, Knocklyon, Dublin 16"
2 beds,2 baths,84m 2,Apartment,420000,Dublin 6W," 3 Temple Hill, Terenure Road West, Terenure, Dublin 6W"
1 bed,1 bath,64m 2,Apartment,180000,Dublin 24," 28 Priorsgate, Tallaght, Dublin 24"
3 beds,2 baths,,Terraced House,285000,Dublin 24," 10 Alderwood Park, Tallaght, Dublin 24"
1 bed,1 bath,58.67m 2,Cottage,475000,Co. Dublin," 25 Grange Terrace, Blackrock, Deansgrange, Co. Dublin"
2 beds,2 baths,61.05m 2,Apartment,305000,County Dublin," 101 The Kilns, Portmarnock,   County Dublin"
2 beds,1 bath,68m 2,End of Terrace House,249000,K32 E023," 36 Craoibhin Park,Balbriggan,Co Dublin,K32 E023"
